trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
1,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,0,0,2,False,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,first,validate,0,0,2,False,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark-validate,0,0,2,False,False,,10,10
1,data/domains/grid,openai,o4-mini,True,detailed-first,validate,0,0,2,False,False,,10,10
1,data/domains/grid,openai,o4-mini,True,detailed-first,landmark-validate,0,0,2,False,False,,10,10
1,data/domains/grid,openai,o4-mini,True,detailed-first,landmark,0,0,2,False,False,,10,10
1,data/domains/grid,openai,o4-mini,True,first,validate,0,0,2,False,False,,10,10
1,data/domains/grid,openai,o4-mini,True,first,landmark-validate,0,0,2,False,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,detailed-first,validate,0,0,3,False,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,first,landmark-validate,0,0,2,False,False,,10,10
1,data/domains/grid,openai,o4-mini,True,first,landmark,0,0,2,False,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,first,landmark,0,0,2,False,False,,10,10
1,data/domains/blocks,openai,o4-mini,True,first,validate,16,16,20,True,False,,2,10
1,data/domains/hiking,openai,o4-mini,True,detailed-first,validate,19,19,20,True,False,,2,10
1,data/domains/blocks,openai,o4-mini,True,first,landmark,15,15,20,True,False,,2,10
1,data/domains/hiking,openai,o4-mini,True,first,validate,17,17,20,True,False,,2,10
1,data/domains/flow,openai,o4-mini,True,first,validate,18,18,20,True,False,,2,10
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,landmark-validate,10,10,20,True,False,,2,10
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,validate,11,11,20,True,False,,2,10
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,landmark,14,14,20,True,False,,6,10
1,data/domains/blocks,openai,o4-mini,True,detailed-first,validate,15,15,20,True,False,,2,10
1,data/domains/blocks,openai,o4-mini,True,detailed-first,landmark,18,18,20,True,False,,2,10
1,data/domains/blocks,openai,o4-mini,True,first,landmark-validate,18,18,20,True,False,,2,10
1,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,validate,18,18,20,True,False,,0,10
1,data/domains/hiking,openai,o4-mini,True,detailed-first,landmark,18,18,20,True,False,,2,10
1,data/domains/checkers-jumping,openai,o4-mini,True,first,validate,18,18,20,True,False,,2,10
1,data/domains/blocks,openai,o4-mini,True,detailed-first,landmark-validate,16,16,20,True,False,,2,10
1,data/domains/flow,openai,o4-mini,True,detailed-first,validate,18,18,20,True,False,,0,10
