trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,4,5,10,True,False,,1,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,True,slide-blue,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,4,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,True,start,0,0
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,1,False,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,6,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,4,5,10,True,False,,1,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,2,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,7,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,4,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,4,6,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,1,False,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,4,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,7,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,2,2,3,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,8,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,3,2,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,6,4,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,1,1,1,False,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,8,5,10,True,False,,9,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,3,3,6,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,2,2,4,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,8,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,4,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,first,landmark-validate,0,1,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,landmark-validate,8,5,10,True,False,,10,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,first,landmark-validate,4,5,10,True,False,,0,10
2025-07-23_12-10-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,landmark-validate,4,5,10,True,False,,1,10
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,True,board,0,0
2025-07-23_12-10-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,landmark-validate,3,3,6,False,False,,0,0
2025-07-23_12-10-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,landmark-validate,0,1,1,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,landmark-validate,0,0,0,False,False,,0,0
2025-07-23_12-10-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,landmark-validate,5,5,10,True,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,3,4,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,2,10,True,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,3,3,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,8,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,2,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,2,2,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,3,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,0,0,False,True,jump-blue,0,0
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,3,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,3,3,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,2,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,3,3,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,3,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,4,4,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,2,2,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,6,6,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,3,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,3,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,4,4,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,0,0,False,True,start,0,0
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,2,2,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,8,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,3,3,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/flow,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,first,validate,0,9,10,True,False,,0,10
2025-07-23_12-04-51,data/domains/blocks,openai,gpt-4o-mini,True,detailed-first,validate,0,2,2,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,first,validate,0,1,1,False,False,,9,10
2025-07-23_12-04-51,data/domains/miconic,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,first,validate,0,2,2,False,False,,10,10
2025-07-23_12-04-51,data/domains/bookseller,openai,gpt-4o-mini,True,detailed-first,validate,0,1,1,False,False,,10,10
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,first,validate,0,0,0,False,True,slide-blue,0,0
2025-07-23_12-04-51,data/domains/checkers-jumping,openai,gpt-4o-mini,True,detailed-first,validate,0,2,2,False,False,,10,10

