trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
8,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,landmark,2,0,4,False,False,,2,10
4,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,5,0,10,True,False,,10,10
5,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,4,0,10,True,False,,7,10
3,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,0,0,10,True,False,,10,10
4,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,8,0,10,True,False,,0,10
8,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,2,0,4,False,False,,2,10
1,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,3,0,10,True,False,,9,10
3,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,8,0,10,True,False,,9,10
9,data/domains/checkers-jumping,openai,gpt-5-nano,True,detailed-first,landmark,0,0,0,False,True,jump-blue,0,0
1,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,5,0,7,False,False,,0,10
6,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,1,0,10,True,False,,10,10
4,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,8,0,10,True,False,,0,10
2,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,3,0,10,True,False,,9,10
7,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,7,0,10,True,False,,0,10
10,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,2,0,5,False,False,,2,10
9,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,1,0,10,True,False,,10,10
8,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,4,0,10,True,False,,10,10
3,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,5,0,10,True,False,,6,10
10,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,8,0,10,True,False,,9,10
5,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,7,0,10,True,False,,0,10
6,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,7,0,10,True,False,,9,10
7,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,8,0,10,True,False,,9,10
9,data/domains/flow,openai,gpt-5-nano,True,detailed-first,landmark,5,0,8,False,False,,0,10
10,data/domains/bookseller,openai,gpt-5-nano,True,detailed-first,landmark,1,0,10,True,False,,10,10
6,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,landmark,8,0,10,True,False,,0,10
5,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,8,0,10,True,False,,9,10
8,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,8,0,10,True,False,,9,10
10,data/domains/miconic,openai,gpt-5-nano,True,detailed-first,landmark,8,0,10,True,False,,0,10
