trial,domain_path,provider,model,give_pred_descriptions,desc_class,feedback_pipeline,landmark_runs,val_runs,hde_runs,hde_timeout,action_timeout,action_timeout_cause,evals_passed,total_evals
1,data/domains/flow,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
1,data/domains/bookseller,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,landmark,0,0,10,True,False,,0,10
1,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,landmark,0,0,0,False,True,jump-red,0,0
2,data/domains/flow,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
1,data/domains/bookseller,openai,o4-mini,True,detailed-first,validate,0,1,10,True,False,,10,10
1,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,validate,0,0,0,False,True,slide-blue,0,0
2,data/domains/flow,openai,o4-mini,True,detailed-first,validate,0,1,10,True,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,detailed-first,validate,0,5,10,True,False,,8,10
2,data/domains/miconic,openai,o4-mini,True,first,validate,0,1,10,True,False,,10,10
2,data/domains/miconic,openai,o4-mini,True,detailed-first,validate,0,0,10,True,False,,10,10
1,data/domains/flow,openai,o4-mini,True,first,landmark,0,0,10,True,False,,10,10
2,data/domains/flow,openai,o4-mini,True,first,landmark,1,0,10,True,False,,10,10
2,data/domains/bookseller,openai,o4-mini,True,first,landmark,0,0,0,False,True,loadBottom,0,0
2,data/domains/bookseller,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
1,data/domains/miconic,openai,o4-mini,True,first,landmark,9,0,10,True,False,,10,10
3,data/domains/flow,openai,o4-mini,True,first,landmark,0,0,10,True,False,,0,10
1,data/domains/miconic,openai,o4-mini,True,detailed-first,landmark,9,0,10,True,False,,6,10
3,data/domains/flow,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
2,data/domains/miconic,openai,o4-mini,True,first,landmark,9,0,10,True,False,,10,10
2,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,validate,0,0,10,True,False,,10,10
1,data/domains/bookseller,openai,o4-mini,True,first,landmark,8,0,10,True,False,,10,10
3,data/domains/flow,openai,o4-mini,True,detailed-first,validate,0,0,10,True,False,,10,10
2,data/domains/bookseller,openai,o4-mini,True,detailed-first,validate,0,1,10,True,False,,10,10
3,data/domains/miconic,openai,o4-mini,True,detailed-first,validate,0,0,10,True,False,,10,10
1,data/domains/checkers-jumping,openai,o4-mini,True,first,landmark,9,0,10,True,False,,0,10
3,data/domains/miconic,openai,o4-mini,True,first,validate,0,1,10,True,False,,10,10
3,data/domains/bookseller,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
3,data/domains/checkers-jumping,openai,o4-mini,True,detailed-first,validate,0,0,0,False,True,slide-blue,0,0
1,data/domains/flow,openai,o4-mini,True,detailed-first,landmark,4,0,10,True,False,,10,10
4,data/domains/flow,openai,o4-mini,True,first,landmark,0,0,10,True,False,,0,10
4,data/domains/flow,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
2,data/domains/checkers-jumping,openai,o4-mini,True,first,landmark,6,0,10,True,False,,10,10
4,data/domains/flow,openai,o4-mini,True,detailed-first,validate,0,0,10,True,False,,10,10
4,data/domains/miconic,openai,o4-mini,True,first,validate,0,0,10,True,False,,10,10
1,data/domains/bookseller,openai,o4-mini,True,first,landmark-validate,18,0,20,True,False,,10,10
3,data/domains/miconic,openai,o4-mini,True,first,landmark,9,0,10,True,False,,10,10
2,data/domains/flow,openai,o4-mini,True,detailed-first,landmark,9,0,10,True,False,,10,10
4,data/domains/miconic,openai,o4-mini,True,detailed-first,validate,0,1,10,True,False,,10,10
